cve_est,sistema,tipo,linea,nombre,longitud,latitud
MB0102,Metrobús,Transbordo,L1,Deportivo 18 de Marzo,-99.1245316987771,19.4862853792813
MB0103,Metrobús,Intermedia,L1,Euzkaro,-99.127632233877,19.4825191017247
MB0104,Metrobús,Intermedia,L1,Potrero,-99.1324682384368,19.4766384713324
MB0105,Metrobús,Transbordo,L1,La Raza,-99.1389866641443,19.468700050076
MB0106,Metrobús,Transbordo,L1,Circuito,-99.1440067682156,19.462612766654
MB0107,Metrobús,Intermedia,L1,San Simón,-99.1464243450732,19.4596325360148
MB0108,Metrobús,Intermedia,L1,Manuel González,-99.1493885158261,19.4567355629156
MB0109,Metrobús,Transbordo,L1,Buenavista,-99.1531306652581,19.4468379514912
MB0110,Metrobús,Intermedia,L1,El Chopo,-99.1544111338245,19.4433450825901
MB0111,Metrobús,Intermedia,L1,Revolución,-99.1554103798019,19.4403527880055
MB0112,Metrobús,Transbordo,L1,Plaza de la República,-99.157318741941,19.4360459666759
MB0113,Metrobús,Transbordo,L1,Reforma,-99.1587145097314,19.4328991003049
MB0114,Metrobús,Transbordo,L1,Hamburgo,-99.1612354179101,19.4275244084881
MB0115,Metrobús,Terminal,L1,Glorieta Insurgentes,-99.1628838165615,19.4237205292861
MB0116,Metrobús,Intermedia,L1,Durango,-99.164055629467,19.4199327519625
MB0117,Metrobús,Intermedia,L1,Álvaro Obregón,-99.1650558162938,19.416550991836
MB0118,Metrobús,Intermedia,L1,Sonora,-99.1661242193099,19.4132719254108
MB0119,Metrobús,Intermedia,L1,Campeche,-99.1672655931971,19.4097687538764
MB0120,Metrobús,Intermedia,L1,Chilpancingo,-99.1683048609954,19.4065788331177
MB0121,Metrobús,Transbordo,L1,Nuevo León,-99.1697838557312,19.4020431819716
MB0122,Metrobús,Transbordo,L1,La Piedad,-99.1711112024483,19.3979703378933
MB0123,Metrobús,Transbordo,L1,Polifórum,-99.1726250185952,19.3932992032696
MB0124,Metrobús,Transbordo,L1,Nápoles,-99.1737944114527,19.3896906524301
MB0125,Metrobús,Transbordo,L1,Colonia del Valle,-99.1750920704613,19.3856861026733
MB0126,Metrobús,Intermedia,L1,Ciudad de los Deportes,-99.1761401612828,19.3824515657724
MB0127,Metrobús,Intermedia,L1,Parque Hundido,-99.1770684026935,19.3795867868367
MB0128,Metrobús,Intermedia,L1,Félix Cuevas,-99.178796527601,19.3742530950736
MB0129,Metrobús,Intermedia,L1,Río Churubusco,-99.1805698110261,19.3687796513262
MB0130,Metrobús,Intermedia,L1,Teatro de los Insurgentes,-99.1818252002605,19.3649263909228
MB0131,Metrobús,Intermedia,L1,José María Velasco,-99.1828497749714,19.3617589894926
MB0132,Metrobús,Intermedia,L1,Francia,-99.1839115562651,19.3584764304419
MB0133,Metrobús,Intermedia,L1,Olivo,-99.1851566483434,19.354626982445
MB0134,Metrobús,Intermedia,L1,Altavista,-99.1863564020383,19.3509038493611
MB0135,Metrobús,Intermedia,L1,La Bombilla,-99.1877262179368,19.3468185138868
MB0136,Metrobús,Terminal,L1,Doctor Gálvez,-99.1900369636448,19.340707214064
MB0137,Metrobús,Intermedia,L1,Ciudad Universitaria,-99.1884729507772,19.3229473641776
MB0138,Metrobús,Intermedia,L1,Centro Cultural Universitario,-99.1875269526146,19.3151621669872
MB0139,Metrobús,Intermedia,L1,Perisur,-99.1861266974908,19.3041096320527
MB0140,Metrobús,Intermedia,L1,Villa Olímpica,-99.1855148121235,19.2990917643776
MB0141,Metrobús,Intermedia,L1,Corregidora,-99.1810317319288,19.2940700846785
MB0142,Metrobús,Intermedia,L1,Ayuntamiento,-99.1775366902643,19.2925954639789
MB0143,Metrobús,Intermedia,L1,Fuentes Brotantes,-99.1745975716401,19.2881035878447
MB0144,Metrobús,Intermedia,L1,Santa Úrsula,-99.1753010746286,19.2832627642404
MB0145,Metrobús,Intermedia,L1,La Joya,-99.1699925731304,19.2803221337428
MB0146,Metrobús,Terminal,L1,El Caminero,-99.1690776516879,19.2793137711004
MB0201,Metrobús,Terminal,L2,Tacubaya,-99.1870077632612,19.4019947604297
MB0202,Metrobús,Intermedia,L2,Parque Lira,-99.1891043635208,19.4077931728321
MB0203,Metrobús,Intermedia,L2,Antonio Maceo,-99.1859008657811,19.4048746245951
MB0204,Metrobús,Intermedia,L2,De la Salle,-99.1835088487392,19.4075895489105
MB0205,Metrobús,Intermedia,L2,Patriotismo,-99.1773714812033,19.4055667644885
MB0206,Metrobús,Intermedia,L2,Escandón,-99.1738288990292,19.4044098517607
MB0207,Metrobús,Transbordo,L2,Nuevo León,-99.1704079341159,19.4035006745954
MB0208,Metrobús,Intermedia,L2,Viaducto,-99.1680933404479,19.4013145434518
MB0209,Metrobús,Intermedia,L2,Amores,-99.1638157475972,19.3968783577925
MB0210,Metrobús,Terminal / Transbordo,L2,Etiopía,-99.1550015233374,19.395841134451
MB0211,Metrobús,Intermedia,L2,Doctor Vértiz,-99.151707679124,19.3956075599602
MB0212,Metrobús,Intermedia,L2,Centro SCOP,-99.1467556804401,19.3952480349727
MB0213,Metrobús,Intermedia,L2,Álamos,-99.1429427968514,19.3947530969448
MB0214,Metrobús,Intermedia,L2,Xola,-99.1402513707371,19.394365049136
MB0215,Metrobús,Intermedia,L2,Las Américas,-99.1343490840814,19.3934594546901
MB0216,Metrobús,Intermedia,L2,Andrés Molina,-99.1297001048689,19.3976774344177
MB0217,Metrobús,Intermedia,L2,La Viga,-99.1245623067857,19.3980646197956
MB0218,Metrobús,Intermedia,L2,Coyuya,-99.1167822550542,19.3982833853659
MB0219,Metrobús,Transbordo,L2,Metro Coyuya,-99.1134651672745,19.3983294161025
MB0220,Metrobús,Intermedia,L2,Canela,-99.109337759786,19.397848657667
MB0221,Metrobús,Intermedia,L2,Tlacotal,-99.1039110604761,19.3972190805004
MB0222,Metrobús,Intermedia,L2,Goma,-99.1000071986185,19.3968907455914
MB0223,Metrobús,Intermedia,L2,Iztacalco,-99.0959575586171,19.3965470638936
MB0224,Metrobús,Intermedia,L2,UPIICSA,-99.0903921272172,19.3939350273635
MB0225,Metrobús,Intermedia,L2,El Rodeo,-99.0870802443113,19.3916613193944
MB0226,Metrobús,Intermedia,L2,Río Tecolutla,-99.0831500155784,19.3890564481127
MB0227,Metrobús,Intermedia,L2,Río Mayo,-99.0800235675874,19.3869618059052
MB0228,Metrobús,Intermedia,L2,Rojo Gómez,-99.0763665132923,19.3845089441252
MB0229,Metrobús,Intermedia,L2,Río Frío,-99.0742809575537,19.3876284054832
MB0230,Metrobús,Intermedia,L2,Del Moral,-99.0709202512719,19.3841971768227
MB0231,Metrobús,Intermedia,L2,Leyes de Reforma,-99.0658196192536,19.3834701585119
MB0232,Metrobús,Intermedia,L2,CCH Oriente,-99.0607918477405,19.3833269651318
MB0233,Metrobús,Intermedia,L2,Constitución de Apatzingán,-99.0598482187898,19.389031206364
MB0234,Metrobús,Intermedia,L2,Canal de San Juan,-99.0565475201798,19.3967112237791
MB0235,Metrobús,Intermedia,L2,General Antonio de León,-99.0517338136361,19.385381301595
MB0236,Metrobús,Intermedia,L2,Nicolás Bravo,-99.0509253201285,19.3934954171715
MB0237,Metrobús,Terminal,L2,Tepalcates,-99.0476125924466,19.3907678615759
MB0301,Metrobús,Terminal,L3,Tenayuca,-99.1701113579912,19.5286169823938
MB0302,Metrobús,Intermedia,L3,San José de la Escalera,-99.165555348251,19.5227187693797
MB0303,Metrobús,Intermedia,L3,Progreso Nacional,-99.16377197209,19.5196884338518
MB0304,Metrobús,Intermedia,L3,Tres Anegas,-99.161932830067,19.5155054382669
MB0305,Metrobús,Intermedia,L3,Júpiter,-99.1592357567791,19.5086141114812
MB0306,Metrobús,Intermedia,L3,La Patera,-99.1572666683555,19.503663641847
MB0307,Metrobús,Intermedia,L3,Poniente 146,-99.1558846639548,19.4999860834804
MB0308,Metrobús,Transbordo,L3,Montevideo,-99.154456753948,19.4961058083645
MB0309,Metrobús,Intermedia,L3,Poniente 134,-99.1531706131113,19.4926875051311
MB0310,Metrobús,Intermedia,L3,Poniente 128,-99.1519556605812,19.4895459266428
MB0311,Metrobús,Intermedia,L3,Magdalena de las Salinas,-99.1498594837642,19.4838815251257
MB0312,Metrobús,Intermedia,L3,Coltongo,-99.1483274173843,19.4798514290892
MB0313,Metrobús,Intermedia,L3,Cuitláhuac,-99.1461604032855,19.4741506740771
MB0314,Metrobús,Intermedia,L3,Héroe de Nacozari,-99.1450385302764,19.4711622984431
MB0315,Metrobús,Intermedia,L3,Hospital La Raza,-99.1438464714028,19.4679900849913
MB0316,Metrobús,Terminal / Transbordo,L3,La Raza,-99.1409519770004,19.467325707115
MB0317,Metrobús,Transbordo,L3,Circuito,-99.1440624080026,19.4632925987675
MB0318,Metrobús,Intermedia,L3,Tolnáhuac,-99.1440643446891,19.4598898017759
MB0319,Metrobús,Intermedia,L3,Tlatelolco,-99.145045586518,19.4555593969596
MB0320,Metrobús,Intermedia,L3,Ricardo Flores Magón,-99.1459043139181,19.4517818288199
MB0321,Metrobús,Intermedia,L3,Guerrero,-99.1472120354732,19.4460287813123
MB0322,Metrobús,Terminal,L3,Buenavista,-99.1519969852031,19.4461265233252
MB0323,Metrobús,Intermedia,L3,Mina,-99.1485468002227,19.4405842382296
MB0324,Metrobús,Transbordo,L3,Hidalgo,-99.1472135429983,19.4360057840169
MB0325,Metrobús,Transbordo,L3,Juárez,-99.1480322627367,19.4312903691447
MB0326,Metrobús,Terminal,L3,Balderas,-99.1487392095774,19.4280658232816
MB0327,Metrobús,Intermedia,L3,Cuauhtémoc,-99.153701568311,19.4249591433727
MB0328,Metrobús,Intermedia,L3,Jardín Pushkin,-99.1540836446585,19.4203986895644
MB0329,Metrobús,Intermedia,L3,Hospital General,-99.154559021385,19.4144360193912
MB0330,Metrobús,Intermedia,L3,Doctor Márquez,-99.1548449937727,19.411111393262
MB0331,Metrobús,Intermedia,L3,Centro Médico,-99.1551266782891,19.4072732305942
MB0332,Metrobús,Intermedia,L3,Obrero Mundial,-99.1556023092527,19.4010601791472
MB0333,Metrobús,Transbordo,L3,Etiopía,-99.1559024550506,19.3969968861262
MB0334,Metrobús,Intermedia,L3,Luz Saviñón,-99.1563460467104,19.3915929932582
MB0335,Metrobús,Intermedia,L3,Eugenia,-99.1572271170466,19.3859538009134
MB0336,Metrobús,Intermedia,L3,División del Norte,-99.1587436978454,19.3805052595784
MB0337,Metrobús,Intermedia,L3,Miguel Laurent,-99.1602298200397,19.3748368272419
MB0338,Metrobús,Terminal,L3,Pueblo Santa Cruz Atoyac,-99.1610088121674,19.3715692775305
MB0401,Metrobús,Terminal / Transbordo,L4,Buenavista,-99.152271,19.444863
MB0402,Metrobús,Intermedia,L4,Delegación Cuauhtémoc,-99.1524350000268,19.442365000000994
MB0403,Metrobús,Intermedia,L4,México Tenochtitlan,-99.15336300011116,19.438833000024204
MB0404,Metrobús,Intermedia,L4,Museo San Carlos,-99.1506929999867,19.438250000022187
MB0405,Metrobús,Transbordo,L4,Hidalgo,-99.14618100000172,19.437289000002632
MB0406,Metrobús,Intermedia,L4,Bellas Artes,-99.14176899999968,19.436406000007405
MB0407,Metrobús,Intermedia,L4,Teatro Blanquita,-99.13952899971558,19.438532000539887
MB0408,Metrobús,Intermedia,L4,República de Chile,-99.13546049989137,19.4379245005194
MB0409,Metrobús,Intermedia,L4,República de Argentina,-99.13159649993804,19.437381000443654
MB0410,Metrobús,Intermedia,L4,Teatro del Pueblo,-99.12733200007234,19.436809500230304
MB0411,Metrobús,Intermedia,L4,Mixcalco,-99.12378450003776,19.43634050037793
MB0412,Metrobús,Intermedia,L4,Ferrocarril de Cintura,-99.121211500176,19.436071000443633
MB0413,Metrobús,Intermedia,L4,Morelos,-99.1186229999709,19.435800500391256
MB0414,Metrobús,Transbordo,L4,Archivo General de la Nación,-99.11489699966069,19.435165500213145
MB0418,Metrobús,Intermedia,L4,Plaza de la República,-99.15406000007782,19.43696600001666
MB0419,Metrobús,Transbordo,L4,Glorieta de Colón,-99.15345150021192,19.434586500017744
MB0420,Metrobús,Intermedia,L4,Defensoría Pública,-99.15082049984868,19.43323500009936
MB0421,Metrobús,Intermedia,L4,Vocacional 5,-99.15058449981106,19.43167250036976
MB0422,Metrobús,Transbordo,L4,Juárez,-99.14806549995546,19.431282500282983
MB0423,Metrobús,Intermedia,L4,Mercados San Juan,-99.14410149971935,19.430689500835705
MB0424,Metrobús,Intermedia,L4,Eje Central,-99.14136299994772,19.430319000877027
MB0425,Metrobús,Intermedia,L4,El Salvador,-99.13897799973316,19.42997250053001
MB0426,Metrobús,Intermedia,L4,Isabel la Católica,-99.13679750004948,19.429654000122454
MB0427,Metrobús,Intermedia,L4,Museo de la Ciudad,-99.1328898,19.4290292
MB0428,Metrobús,Intermedia,L4,Pino Suárez,-99.132782,19.426661
MB0430,Metrobús,Intermedia,L4,Las Cruces Sur,-99.129918,19.426155
MB0432,Metrobús,Intermedia,L4,La Merced,-99.1259158,19.4256392
MB0433,Metrobús,Intermedia,L4,Mercado de Sonora,-99.123411,19.423241
MB0434,Metrobús,Intermedia,L4,Cecilio Robelo,-99.11945700039274,19.425328500466858
MB0435,Metrobús,Intermedia,L4,Eduardo Molina,-99.116228,19.427177
MB0436,Metrobús,Intermedia,L4,Hospital Balbuena,-99.116153,19.425098
MB0437,Metrobús,Transbordo,L4,Moctezuma,-99.111979,19.426894
MB0438,Metrobús,Terminal,L4,Pantitlán,-99.0734542,19.4170652
MB0439,Metrobús,Intermedia,L4,Calle 6,-99.0583981,19.4211477
MB0440,Metrobús,Terminal,L4,Alameda Oriente,-99.0532703,19.4307516
MB0441,Metrobús,Terminal,L4,Terminal 1 - Aeropuerto,-99.083666,19.435307
MB0442,Metrobús,Terminal,L4,Terminal 2 - Aeropuerto,-99.07725,19.421476
MB0443,Metrobús,Terminal,L4,Terminal San Lázaro,-99.1152994999189,19.431013500045207
MB0501,Metrobús,Terminal,L5,Río de Los Remedios,-99.0859345003903,19.5071114900973
MB0502,Metrobús,Intermedia,L5,314 Memorial New's Divine,-99.0887282816058,19.5006062150847
MB0503,Metrobús,Intermedia,L5,5 de Mayo,-99.0901776144382,19.4970901585795
MB0504,Metrobús,Intermedia,L5,Vasco de Quiroga,-99.0917827340893,19.4932960201282
MB0505,Metrobús,Intermedia,L5,El Coyol,-99.0941759989896,19.487537884367
MB0506,Metrobús,Intermedia,L5,Preparatoria 3,-99.0960093028431,19.4833621325015
MB0507,Metrobús,Transbordo,L5,San Juan de Aragón,-99.0975064596109,19.4798685459894
MB0508,Metrobús,Intermedia,L5,Río de Guadalupe,-99.0991165223017,19.4760275853635
MB0509,Metrobús,Intermedia,L5,Talismán,-99.101242943947,19.4710172362688
MB0510,Metrobús,Intermedia,L5,Victoria,-99.1027973369679,19.4673415245479
MB0511,Metrobús,Intermedia,L5,Oriente 101,-99.1054860526333,19.4609748143991
MB0512,Metrobús,Intermedia,L5,Río Santa Coleta,-99.1074929162215,19.4560585810601
MB0513,Metrobús,Intermedia,L5,Río Consulado,-99.108446516037,19.4536648468249
MB0514,Metrobús,Intermedia,L5,Canal del Norte,-99.1103571516407,19.4496863887754
MB0515,Metrobús,Intermedia,L5,Deportivo Eduardo Molina,-99.1121754533065,19.4446991607769
MB0516,Metrobús,Intermedia,L5,Mercado Morelos,-99.1134396163532,19.4413242786585
MB0518,Metrobús,Terminal / Transbordo,L5,Terminal San Lázaro,-99.1152760808535,19.4308224553771
MB0519,Metrobús,Transbordo,L5,Moctezuma,-99.1114740856329,19.4255857936659
MB0520,Metrobús,Intermedia,L5,Venustiano Carranza,-99.1122187198148,19.4183741048909
MB0521,Metrobús,Intermedia,L5,Avenida del Taller,-99.1127823494792,19.4129354907521
MB0522,Metrobús,Intermedia,L5,Mixiuhca,-99.1133270891403,19.4078660144906
MB0523,Metrobús,Intermedia,L5,Hospital General Troncoso,-99.1135696345668,19.4054561966269
MB0524,Metrobús,Transbordo,L5,Metro Coyuya,-99.1135336973903,19.3993903236965
MB0525,Metrobús,Intermedia,L5,Recreo,-99.1136103188428,19.3938511859359
MB0526,Metrobús,Intermedia,L5,Oriente 116,-99.1126579288631,19.3902645045389
MB0527,Metrobús,Intermedia,L5,Colegio de Bachilleres 3,-99.1116619149737,19.3863239203958
MB0528,Metrobús,Intermedia,L5,Canal Apatlaco,-99.1108887673084,19.38288698357
MB0529,Metrobús,Intermedia,L5,Apatlaco,-99.1090729282886,19.3780578865353
MB0530,Metrobús,Intermedia,L5,Aculco,-99.1079750954569,19.3748751179449
MB0531,Metrobús,Intermedia,L5,Churubusco Oriente,-99.1078606383762,19.3715946455293
MB0532,Metrobús,Intermedia,L5,Escuadrón 201,-99.1091921633826,19.3660430833004
MB0533,Metrobús,Intermedia,L5,Atanasio G. Sarabia,-99.1102837847948,19.3612573396292
MB0534,Metrobús,Intermedia,L5,Ermita Iztapalapa,-99.1113358138378,19.3566282977583
MB0535,Metrobús,Intermedia,L5,Ganaderos,-99.1109177512098,19.3515751513112
MB0536,Metrobús,Intermedia,L5,Pueblo de los Reyes,-99.1113411510758,19.3479781790792
MB0537,Metrobús,Intermedia,L5,Barrio San Antonio,-99.112436393602,19.3431262501874
MB0538,Metrobús,Intermedia,L5,Calzada Taxqueña,-99.1129965035085,19.3387554856171
MB0539,Metrobús,Intermedia,L5,Cafetales,-99.1131493568214,19.333724451928
MB0540,Metrobús,Intermedia,L5,ESIME Culhuacán,-99.1135367578692,19.329211199941
MB0541,Metrobús,Intermedia,L5,Manuela Sáenz,-99.1139664674947,19.3242068830296
MB0542,Metrobús,Intermedia,L5,La Virgen,-99.1136231320214,19.3206753160864
MB0543,Metrobús,Intermedia,L5,Tepetlapa,-99.1116269459882,19.3163419915147
MB0544,Metrobús,Intermedia,L5,Las Bombas,-99.1106701608077,19.3118384226827
MB0545,Metrobús,Intermedia,L5,Vista Hermosa,-99.1117913494508,19.3068124509321
MB0546,Metrobús,Intermedia,L5,Calzada del Hueso,-99.113345570282,19.3015719406866
MB0547,Metrobús,Intermedia,L5,Cañaverales,-99.1144727032877,19.2955451270765
MB0548,Metrobús,Intermedia,L5,Muyuguarda,-99.1155411004876,19.285059408792
MB0549,Metrobús,Intermedia,L5,Circuito Cuemanco,-99.1166930591653,19.2814068956922
MB0550,Metrobús,Intermedia,L5,DIF Xochimilco,-99.1176615916372,19.2781910356656
MB0551,Metrobús,Terminal,L5,Preparatoria 1,-99.1207959232013,19.2733739973326
MB0601,Metrobús,Terminal,L6,El Rosario,-99.1995456719612,19.5071663128448
MB0602,Metrobús,Intermedia,L6,Colegio de Bachilleres 1,-99.1973145797613,19.5116371152376
MB0603,Metrobús,Intermedia,L6,De Las Culturas,-99.1926053406748,19.5109448165355
MB0604,Metrobús,Intermedia,L6,Ferrocarriles Nacionales,-99.1885976473391,19.504873478224
MB0605,Metrobús,Intermedia,L6,UAM-Azcapotzalco,-99.183987235794,19.5040086723364
MB0606,Metrobús,Intermedia,L6,Tecnoparque,-99.1788763119925,19.5024731429933
MB0607,Metrobús,Intermedia,L6,Norte 59,-99.1655539165515,19.4976218226976
MB0608,Metrobús,Intermedia,L6,Norte 45,-99.1597480695845,19.4963468223695
MB0609,Metrobús,Transbordo,L6,Montevideo,-99.1530594776482,19.494875468993
MB0610,Metrobús,Intermedia,L6,Lindavista-Vallejo,-99.1480386982654,19.4937757667731
MB0611,Metrobús,Intermedia,L6,Instituto del Petróleo,-99.1451709015021,19.4931461201019
MB0612,Metrobús,Intermedia,L6,San Bartolo,-99.1391108955412,19.4919641287801
MB0613,Metrobús,Terminal,L6,Instituto Politécnico Nacional,-99.1326542310678,19.490431839893
MB0614,Metrobús,Intermedia,L6,Riobamba,-99.1278991810098,19.4886509970006
MB0615,Metrobús,Transbordo,L6,Deportivo 18 de Marzo,-99.1223980915224,19.4866016533311
MB0616,Metrobús,Intermedia,L6,La Villa,-99.1196044250415,19.4854276330595
MB0617,Metrobús,Transbordo,L6,De Los Misterios,-99.1179452889191,19.4872071589942
MB0618,Metrobús,Transbordo,L6,Hospital Infantil La Villa,-99.1147038106798,19.488035584576
MB0619,Metrobús,Transbordo,L6,Delegación Gustavo A. Madero,-99.1123443082847,19.4838905898998
MB0620,Metrobús,Intermedia,L6,Martín Carrera,-99.10533511389,19.4820384429282
MB0621,Metrobús,Intermedia,L6,Hospital General La Villa,-99.1011883271827,19.4803680264808
MB0622,Metrobús,Transbordo,L6,San Juan de Aragón,-99.0971741137859,19.478759435914
MB0623,Metrobús,Intermedia,L6,Gran Canal,-99.092933196305,19.4770947566159
MB0624,Metrobús,Intermedia,L6,Casas Alemán,-99.088366883499,19.4743215112421
